00000,Description                  ,Absol. ,mean                ,median;
C0103,Non compliant name:          ,447954,0.05891826014399102,0.07014618361572733;
C0114,Missing module docstring:    ,50748,0.006674756483449766,0.008319490586932448;
C0115,Missing class docstring:     ,52216,0.006867838822018858,0.0035282338735348672;
C0116,Missing function docstring:  ,227574,0.02993223441248122,0.028269101519597398;
C0301,Line too long:               ,134503,0.017690840452696536,0.02024295184672543;
C0303,Trailing whitespace:         ,64109,0.008432095124881396,0.0014285743440292735;
C0411,Wrong import order:          ,33897,0.004458386941741482,0.005714711427313729;
R0201,Method could be function:    ,33929,0.004462595821056339,7.601495464440077E-4;
R0902,Too many instance attributes:,5897,7.756175412410985E-4,7.595032118333292E-4;
R0912,Too many branches:           ,5787,7.611495185962757E-4,1.3611824622487197E-4;
R0913,Too many arguments:          ,25559,0.003361710825263903,0.003331537297426741;
R0914,Too many local variables:    ,21387,0.0028129781845893462,0.0036033742477802645;
R1260,Too complex:                 ,9643,0.0012683194760366142,7.840333799675937E-4;
R1702,Too many nested blocks:      ,993,1.3060678623917431E-4,0.0;
W0311,Bad indentation:             ,854852,0.11243652812701976,0.0;
W0612,Unused variables:            ,21586,0.0028391521528286167,0.0030228786165461628;
W0613,Unused argument:             ,31397,0.004129568245268233,0.001652892561983471;
W0621,Redefined outer name:        ,35064,0.004611879509255194,0.0015030244979438835;
2730959
7602974.0
