00000,Description                  ,Absol. ,mean                ,median;
C0103,Non compliant name:          ,447954,0.07966599447509391,0.09684156628129463;
C0114,Missing module docstring:    ,23983,0.0042652360409688875,0.008120576339737107;
C0115,Missing class docstring:     ,33539,0.005964714655299817,0.003810194627463916;
C0116,Missing function docstring:  ,193379,0.0343913222018314,0.03393274067239338;
C0301,Line too long:               ,112626,0.020029874258856772,0.024;
C0303,Trailing whitespace:         ,49440,0.008792614346224484,0.0012036301840862205;
C0411,Wrong import order:          ,26197,0.004658982969822873,0.0061297507394735915;
R0201,Method could be function:    ,29555,0.005256183596332214,6.304970624380522E-4;
R0902,Too many instance attributes:,5136,9.134075097534173E-4,7.336820341563168E-4;
R0912,Too many branches:           ,5175,9.203434312643954E-4,6.726754314432149E-5;
R0913,Too many arguments:          ,21630,0.003846768776473212,0.003940083562437104;
R0914,Too many local variables:    ,19275,0.0034279458236949217,0.00439614909722098;
R1260,Too complex:                 ,8598,0.0015291039269586999,8.799695243286603E-4;
R1702,Too many nested blocks:      ,944,1.6788486939393028E-4,0.0;
W0311,Bad indentation:             ,700831,0.1246386873964169,0.0;
W0612,Unused variables:            ,19207,0.003415852422086037,0.00360788963517588;
W0613,Unused argument:             ,27122,0.004823488800531967,0.0017574746725969855;
W0621,Redefined outer name:        ,31764,0.0056490413044796624,0.0017960521976997917;
2306872
5622901.0
