00000,Description                  ,Absol. ,mean                ,median;
C0103,Non compliant name:          ,4803963,0.05179742547992345,0.05113636363636364;
C0114,Missing module docstring:    ,600430,0.0064739732968198205,0.008558951965065502;
C0115,Missing class docstring:     ,723735,0.007803475948859806,0.005235602094240838;
C0116,Missing function docstring:  ,2603528,0.028071833102147985,0.03076923076923077;
C0301,Line too long:               ,2848495,0.0307131232052442,0.01932367149758454;
C0303,Trailing whitespace:         ,1128306,0.012165652806557941,9.871668311944718E-4;
C0411,Wrong import order:          ,366913,0.003956139706970089,0.004471210876904827;
R0201,Method could be function:    ,330123,0.0035594615303466675,8.650519031141869E-4;
R0902,Too many instance attributes:,104961,0.0011317134573680615,4.73260766682442E-4;
R0912,Too many branches:           ,97381,0.0010499841673760654,3.5803795202291446E-4;
R0913,Too many arguments:          ,264268,0.0028493978901853343,0.0015202189115232593;
R0914,Too many local variables:    ,216070,0.002329716053901135,0.0015026296018031556;
R1260,Too complex:                 ,152187,0.0016409149678115985,0.0010964912280701754;
R1702,Too many nested blocks:      ,27106,2.922630784331197E-4,0.0;
W0311,Bad indentation:             ,3267877,0.03523499564527366,0.0;
W0612,Unused variables:            ,258226,0.0027842516672128225,0.002023121387283237;
W0613,Unused argument:             ,445748,0.004806156669571543,0.001544654559071335;
W0621,Redefined outer name:        ,308924,0.003330889074074857,0.0013499325033748313;
27439866
9.2745208E7
