00000,Description                  ,Absol. ,mean                ,median;
C0103,Non compliant name:          ,4803963,0.07876480423688392,0.08134049129656744;
C0114,Missing module docstring:    ,369464,0.006057656903805479,0.008431703204047217;
C0115,Missing class docstring:     ,557547,0.00914142767291545,0.005690636316606311;
C0116,Missing function docstring:  ,2171400,0.03560183455200836,0.03760552570990023;
C0301,Line too long:               ,2121861,0.03478960314283827,0.023766410140334992;
C0303,Trailing whitespace:         ,1014139,0.01662761761570379,6.891798759476223E-4;
C0411,Wrong import order:          ,307096,0.005035083809332026,0.004898429621092062;
R0201,Method could be function:    ,276971,0.004541160411579768,7.304601899196494E-4;
R0902,Too many instance attributes:,91592,0.0015017238787360919,4.8449612403100775E-4;
R0912,Too many branches:           ,87824,0.0014399445139981499,3.570153516601214E-4;
R0913,Too many arguments:          ,225280,0.003693645246327919,0.001756044846683777;
R0914,Too many local variables:    ,188557,0.00309154237709452,0.0019175455417066154;
R1260,Too complex:                 ,136360,0.002235730938340177,0.001323918799646955;
R1702,Too many nested blocks:      ,25630,4.2022428827851816E-4,0.0;
W0311,Bad indentation:             ,2811744,0.046100785065212396,0.0;
W0612,Unused variables:            ,236257,0.0038736219147802523,0.0024813895781637717;
W0613,Unused argument:             ,365584,0.005994041209754732,0.001566579634464752;
W0621,Redefined outer name:        ,269016,0.0044107318429783,0.0013831258644536654;
23257470
6.0991239E7
