00000,Description                  ,Absol. ,mean                ,median;
C0103,Non compliant name:          ,262545,0.06805645669901624,0.05136407243074709;
C0114,Missing module docstring:    ,21251,0.005508647132151799,0.008207083791009512;
C0115,Missing class docstring:     ,25759,0.006677203024662284,0.00443764154067868;
C0116,Missing function docstring:  ,112123,0.02906432837975889,0.02900720304026111;
C0301,Line too long:               ,115942,0.030054282894731724,0.019130880682103824;
C0303,Trailing whitespace:         ,83938,0.021758261869020645,0.0012376408237663801;
C0411,Wrong import order:          ,19770,0.0051247448968350226,0.004280374859152994;
R0201,Method could be function:    ,16334,0.00423407097343972,3.2275681670930196E-4;
R0902,Too many instance attributes:,3975,0.0010303925627172088,2.3455494957205997E-4;
R0912,Too many branches:           ,4542,0.00117736931317272,0.0;
R0913,Too many arguments:          ,12887,0.003340545649241929,0.0015320099220639638;
R0914,Too many local variables:    ,11081,0.0028723974811243748,0.0017740509397906506;
R1260,Too complex:                 ,6934,0.0017974193785864467,7.403773329788584E-4;
R1702,Too many nested blocks:      ,1304,3.3802060422219877E-4,0.0;
W0311,Bad indentation:             ,182058,0.04719275702721247,0.0;
W0612,Unused variables:            ,14517,0.0037630714045196775,0.0020929229549619755;
W0613,Unused argument:             ,33456,0.00867240593163948,0.0012572762640994082;
W0621,Redefined outer name:        ,15899,0.004121311032614063,0.001015617062469797;
1363770
3857753.0
