00000,Description                  ,Absol. ,mean                ,median;
C0103,Non compliant name:          ,5834639,0.052233351623448554,0.05286024619840695;
C0114,Missing module docstring:    ,735946,0.006588398390006729,0.008680555555555556;
C0115,Missing class docstring:     ,847043,0.007582970404712397,0.005235602094240838;
C0116,Missing function docstring:  ,3132033,0.028038852272650364,0.030705394190871368;
C0301,Line too long:               ,3553598,0.03181282232926211,0.020618556701030927;
C0303,Trailing whitespace:         ,1309928,0.011726848880522124,0.001083743842364532;
C0411,Wrong import order:          ,461865,0.00413474714503572,0.004672897196261682;
R0201,Method could be function:    ,391564,0.003505392552150015,9.208103130755065E-4;
R0902,Too many instance attributes:,130945,0.0011722569688257442,5.947071067499256E-4;
R0912,Too many branches:           ,115693,0.0010357167168991317,3.780718336483932E-4;
R0913,Too many arguments:          ,351071,0.003142887672707036,0.0018873011593421407;
R0914,Too many local variables:    ,281581,0.0025207933830151733,0.0018635855385762206;
R1260,Too complex:                 ,181064,0.0016209365443771396,0.0011061946902654867;
R1702,Too many nested blocks:      ,31166,2.790069165712562E-4,0.0;
W0311,Bad indentation:             ,4236667,0.037927850741487336,0.0;
W0612,Unused variables:            ,319903,0.002863862851565635,0.0022121718611739258;
W0613,Unused argument:             ,538815,0.004823625481368845,0.0015971689397616773;
W0621,Redefined outer name:        ,389364,0.0034856975249903934,0.0014609203798392988;
33654884
1.11703324E8
