00000,Description                  ,Absol. ,mean                ,median;
C0103,Non compliant name:          ,5834639,0.07535331818364563,0.0805484147386461;
C0114,Missing module docstring:    ,455104,0.005877586688508039,0.008264462809917356;
C0115,Missing class docstring:     ,647363,0.008360577255819835,0.0055248618784530384;
C0116,Missing function docstring:  ,2593000,0.03348813080812594,0.03629512098373661;
C0301,Line too long:               ,2654882,0.03428732576017702,0.02443609022556391;
C0303,Trailing whitespace:         ,1171932,0.015135291983890724,7.823613086770982E-4;
C0411,Wrong import order:          ,384335,0.004963617722383757,0.005;
R0201,Method could be function:    ,326498,0.004216663221207675,7.870916961826052E-4;
R0902,Too many instance attributes:,113377,0.0014642436585549149,6.153846153846154E-4;
R0912,Too many branches:           ,104226,0.0013460601317422808,3.7716279289048136E-4;
R0913,Too many arguments:          ,297699,0.0038447292917270664,0.0021413276231263384;
R0914,Too many local variables:    ,246624,0.0031851048100359626,0.00228310502283105;
R1260,Too complex:                 ,162177,0.0020944869225103897,0.0012926159314913556;
R1702,Too many nested blocks:      ,29415,3.798894592059485E-4,0.0;
W0311,Bad indentation:             ,3626606,0.04683696726476451,0.0;
W0612,Unused variables:            ,290963,0.003757735057587639,0.0026069684680956715;
W0613,Unused argument:             ,428007,0.005527633784339976,0.0016;
W0621,Redefined outer name:        ,339811,0.004388598232950283,0.0014825796886582653;
28473962
7.7430419E7
