val;value
config;configuration
args;arguments
params;parameters
dtype;datatype
msg;message
idx;index
img;image
arg;argument
func;function
url;unique_resource_locator
obj;object
ret;result
expr;expression
y_pred;y_prediction
rng;random_number_generator
attrs;attributes
doc;document
var;variable
allowlist;allow_list;
env;environment
ctx;context;
sess;session
hparams;hyperparameters
fig;figure
info;information
exp;expression
aug;augmentation
vocab;vocabulary
pred;prediction
clf;classifier
inp;input
getattr;get_attribute
dir;directory
cfg;configuration
param;parameter
tmp_dir;temporary_directory
attr;attribute
opt;option
col;column
loc;location
conv;convolution
dim;dimension
fname;file_name
cmd;command
init;initialization
src;source
swig_getmethods;swig_get_methods
swig_setmethods;swig_set_methods
dist;distribution
spec;specification
ser;serializer
str;string
resp;response
preds;predictions
buf;buffer
dev;device
tmp;temporary
dvc;device
cols;columns
acc;accuracy
tmpdir;temporary_directory
hpat_func;hpat_function
bbox;bounding_box
err;error
x_val;x_value
ref;reference
std;standard
vals;values
opts;options
ndata;n_data
dst;destination
conf;configuration
conv1;convolution_1
diff;difference
est;estimate
ind;index
ndim;n_dimension
nlp;natural_language_processor
config_dict;configuration_dictionary
stdout;standard_out
dtypes;datatypes
freq;frequency
dict;dictionary
temp;temporary
imgs;images
adj;adjacency
conv2;convolution_2
rhs;right_hand_side
logdir;log_directory
coords;coordinates
desc;description
ext;extension
lhs;left_hand_side
perm;permutation
repo;repository
fmt;format
iloc;index_location
cond;condition
bboxes;bounding_boxes
edata;exception_data
coord;coordinate
cnt;count
xmin;x_minimum
xmax;x_maximum
coef;coefficient
rval;right_value
err_msg;error_message
exc;exception
dirname;directory_name
ymax;y_maximum
configs;configurations
ymin;y_minimum
scm;source_code_management
proto;protocol
ntype;node_type
lib;library
keepdims;keep_dimensions
repr;representation
cmap;color_map
ksize;kernel_size
stddev;standard_development
ckpt;checkpoint
temp_dir;temporary_directory
vec;vector
dest;destination
y_val;y_value
stderr;standard_error
req;request
conn;connection
a_np;a_numpy
stmt;statement
proc;process
rdd;resilient_distributed_dataset
max;maximum
boxlist;box_list
inds;indexes
typ;type
deps;dependencies
setattr;set_attribute
sch;scheme
atol;array_to_long
rnn;recurrent_neural_network
sep;separator
klass;class
dti;date_time
html;hypertext_markup_language
emb;embedded
lst;list
idxs;indexes
conv3;convolution_3
etype;event_type
rtol;right_to_left
enc;encoder
pid;process_id
b_np;b_numpy
cov;coverage
dshape;data_shape
elem;element
sym_db;symbol_database
idtype;id_type
bsz;batch_size
qstate;q_state
nrows;n_rows
specs;specifications
regex;regular_expression
sdc_func;statistical_disclosure_control_function
x_np;x_numpy
topo;topology
txt;text
att;attribute
uid;user_id
min;minimum
skipna;skip_nan
prot;protocol
rnd;random
pca;principal_component_analysis
iou;intersection_over_union
ccore;cluster_core
sql;standard_query_language
fgraph;function_graph
pytestmark;py_testmark
vmax;v_maximumf
ann;annotation
maxlen;maximum_length
cur;current
eopatch;eo_patch
eid;electronic_id
comm;communication
capsys;cap_systems
foo;function
chunksize;chunk_size
mnist;modified_national_institute_of_standards_and_technology
pdict;python_dictionary
fpath;file_path
pred_y;predict_y
qs_a;wtfisthis
x_max;x_maximum
vmin;v_minimum
nnid;nintendo_network_id
shp;shape
var1;variable_1
embed;embedding
restype;result_type
urls;unique_resource_locators
tablename;table_name
x_min;x_minimum
avg;average
dep;dependency
ncols;number_of_columns
rst;result
attn;attenuation
denom;denominator
gpu;graphics_processing_unit
proj;project
rect;rectangle
y_max;y_maximum
word2idx;word_2_index
nobs;number_observations
hmodel;hypermodel
viz;visualization
batchsize;batch_size
z_dim;z_dimension
y_min;y_minimum
dists;distributions
lat;lattice
outfile;output_file
val_acc;value_accuracy
var0;variable_0
agg;aggregate
concat;concatenation
fps;frames_per_second
fpr;false_positive_rate
mse;mean_square_error
pbar;progress_bar
prec;precision
dec;decoder
elems;elements
gpus;graphics_processing_units
tab;table
roidb;region_of_interest_database
figsize;figure_size
tfscript;tensorflow_script
caplog;capture_log
ndims;n_dimensions
wav;wave
ds_info;dataset_information
h5file;h5_file
lon;longitude
mem;memory
topn;top_n
b_init;b_initializer
tgt;target
subdir;sub_directory
exog;exogenous
jit;jitter
max_val;maximum_value;
proba;probability
rec;record
coefs;coefficients
conda_env;conda_environment
mlp;multi_layer_perceptron
tempdir;temporary_directory
clf2;classifier_2
lstm;long_short_term_memory
branch7x7dbl;branch_7x7_dbl
dout;data_out
indptr;independent_pointer
objs;objects
probas;probabilities
idx2;index_2
aug_det;augmentation_detection
cval;custom_value
pdf;portable_document_format
branch3x3dbl;branch_3x3_dbl
conv4;convolution_4
init_params;initial_parameters
tpr;true_positive_rate
refs;references
convs;convolutions
eids;electronic_ids
maxval;maximum_value
ray_start_2_cpus;ray_start_2_central_processing_units
clf1;classifier_1
knn;k_nearest_neighbor
kwds;keywords
w_init;weight_initializer
cwd;current_working_directory
c_np;c_numpy
diffs;differences
impl;implementation
kps;keypoints
scn;shape_classification_network
bbsoi;bounding_boxes_on_image
infos;informations
colorsrc;color_source
kern;kernel
colname;column_name
idx1;index_1
imputer;imputation_transformer
argtypes;argument_types
dirpath;directory_path
ptr;pointer
tfv;tensorflow_value
sgd;stochastic_gradient_descent
auth;authentication
rgb;red_green_blue
rel;relation
tpot_obj;tpot_object
img_cols;image_columns
w_np;w_numpy
cbaoi;classification_based_on_associations_on_image
locs;locations
opset;itsaname
odps;open_document_presentations
tdi;template_data_interface
mol;molecule
cnn;convolutional_neural_network
mda;mdanalysis
seg;segment
val1;value_1
kpsoi;keypoints_on_image
loadables;load_ables
oshape;o_shape
dropna;drop_na
mx_sym;dafuqisthis
optim;optimizer
arg2;argument_2
conv5;convolution_5
mgr;manager
aux;auxiliary
bgcolor;background_color
retval;return_value
bsize;batch_size
h_dim;height_dimension
n_dim;n_dimension
addr;address
min_val;minimum_value
minibatch;mini_batch
auc;area_under_curve
ddof;delta_degrees_of_freedom
itr;iteration
neg;negative
nout;n_out
mel;maya_embedded_language
minval;minimum_value
tup;tuple
arg1;argument_1
diag;dialog
envs;environments
sym;symbol
y_np;y_numpy
ishape;i_shape
lineno;line_number
lsoi;line_strings_on_image
outdir;output_directory
tok;token
dfs;data_frames
rew;wtfisthis
rle;run_length_encoder
pdrop;package_drops
fargs;function_arguments
opt2;option_2
argmax;argument_maximum
expr2;expression_2
hsz;h_size
mstats;model_stats
sim;simulation
cli_args;client_arguments
conv2d;convolution_2d
exc_tb;exception_traceback
logp;partition_coefficient
varx;variable_x
corr;correlation
fid;field
funcs;functions
prototxt;prototext
lbl;label
dct;dictionary
subg;subgraph
coeffs;coefficients
con;connection
gidx;geometry_index
param1;parameter_1
ridx;right_index
colorscale;color_scale
embed_dim;embedded_dimension
cmds;commands
