params;parameters
args;arguments
url;uniform_resource_locator
config;configuration
msg;message
img;image
obj;object
ret;result
idx;index
val;value
info;information
ctx;context
cfg;configuration
cmd;command
str;string
env;environment
func;function
dtype;data_type
resp;response
opt;option
loc;location
param;parameter
pred;prediction
udf_params;user_defined_function_parameters
dim;dimension
doc;document
col;column
src;source
err;error
arg;argument
attrs;attributes
tmp;temporary
temp;temporary
attr;attribute
dict;dictionary
req;request
conn;connection
bboxes;bounding_boxes
fig;figure
fname;file_name
buf;buffer
conv1;convolution_1
bbox;bounding_box
var;variable
dist;distribution
spec;specification
conv;convolution
ext;extension
sql;structured_query_language
std;standard
exp;expression
conf;configuration
imgs;
stdout;standard_out
conv2;convolution_2
opts;options
diff;difference
html;hyper_text_markup_language
ref;reference
preds;predictions
expr;expression
addr;address
sess;session
fmt;format
api;application_programming_interface
restype;result_type
tmpdir;temporary_directory
argtypes;argument_types
inp;input
vocab;vocabulary
gt_bboxes;greater_than_bounding_boxes
desc;description
cur;current
pid;process_id
lr_config;learning_rate_configuration
ind;index
rng;random_number_generator
acc;accuracy
coords;coordinates
uid;user_id
dst;destination
inds;indexes
vals;values
cnt;count
img_norm_cfg;image_norm_configuration
dest;destination
dir;directory
cols;columns
stderr;standard_error
tgt;target
auth;authentication
bbox_pred;bounding_box_prediction
attn;attenuation
tablename;table_name
txt;text
repo;repository
elem;element
rect;rectangle
y_pred;y_prediction
init;initializer
pkt;packet
conv3;convolution_3
regex;regular_expression
dist_params;distance_parameters
multipart_params;multi_part_parameters
sep;separator
max;maximum
local_var_params;local_variable_parameters
ret_dict;result_dictionary
repr;representation
conv_cfg;convolution_configuration
proc;process
gt_bboxes_ignore;greater_bounding_boxes_ignore
repr_str;representation_string
configs;configurations
rgb;red_green_blue
dev;device
ann;annotation
uuid;universal_unique_identifier
typ;type
freq;frequency
cmake;c_make
urls;unique_resource_locators
embed;embedding
rhs;right_hand_side
min;minimum
xmin;x_minimum
ious;intersection_over_unions
cwd;current_working_directory
dirname;directory_name
xmax;x_maximum
exc;exception
urlpatterns;url_patterns
ymin;y_minimum
ymax;y_maximum
vec;vector
lst;list
caplog;capture_log
rec;record
stmt;statement
bsz;batch_size
det_bboxes;determinant_bounding_boxes
avg;average
lineno;line_number
outfile;output_file
hass;home_assistant
seg;segment
cert;certificate
iou;intersection_over_union
foo;foobar
fps;frames_per_second
coord;coordinate
cmap;color_map
cond;condition
sid;session_id
thisown;this_own
capsys;cap_systems
xyz;wtfisthis
sim;simulator
hparams;hyperparameters
retval;return_value
proto;protocol
embed_dim;embedding_dimension
gid;group_id
objs;objects
err_msg;error_message
attrib;attribute
adj;adjacency
memo;memory
img2;image_2
emb;embedding
idxs;indexes
infos;informations
proj;project
con;connection
fpath;file_path
img1;image_1
fullname;full_name
bbox_preds;bounding_box_predictions
cli_ctx;client_context
protobuf;proto_buffer
creds;credentials
klass;class
csv_df;comma_separated_values_dataframe
xml;xtensible_markup_language
curr;current
roidb;region_of_interest_database
perm;permutation
sync;synchronizer
cmdclass;command_class
config_dict;configuration_dictionary
ptr;pointer
topk;top_k
pbar;progress_bar
lat;lattice
lhs;left_hand_side
prec;precision
cid;class_id
etag;e_tag
cpu;central_processing_unit
rpc;remote_procedure_call
